Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.62     0.00      340     0.00     0.00  ContractedGaussianRF::Get2CenterIntegrals(RadialFunction::Types2C, BasisFunctionBlockPair&, SMatrix<double>&, Cluster const*, double) const
  0.00      0.62     0.00      294     0.00     0.00  WriteHeader(std::ostream&, char const*)
  0.00      0.62     0.00      294     0.00     0.00  HeapDB<std::complex<double> >::GetInverseRepulsion()
  0.00      0.62     0.00      294     0.00     0.00  HeapDB<double>::HeapDB()
  0.00      0.62     0.00      294     0.00     0.00  HeapDB<double>::~HeapDB()
  0.00      0.62     0.00      294     0.00     0.00  HeapDB<double>::~HeapDB()
  0.00      0.62     0.00      294     0.00     0.02  HeapDB<double>::Write(std::ostream&) const
  0.00      0.62     0.00      294     0.00     0.00  UniqueID::Write(std::ostream&) const
  0.00      0.62     0.00      293     0.00     0.00  ReadHeader(std::istream&, char const*)
  0.00      0.62     0.00      293     0.00     0.00  IntegralDataBase<double>::Factory(std::istream&)
  0.00      0.62     0.00      293     0.00     0.00  StreamableObject::PeekAtName(std::istream&)
  0.00      0.62     0.00      293     0.00     0.00  HeapDB<double>::Read(std::istream&)
  0.00      0.62     0.00      293     0.00     0.00  UniqueID::Read(std::istream&)
  0.00      0.62     0.00      293     0.00     0.00  HeapDB<double>::operator==(IntegralDataBase<double> const&) const
  0.00      0.62     0.00      293     0.00     0.00  virtual thunk to HeapDB<std::complex<double> >::GetInverseRepulsion()
  0.00      0.62     0.00      293     0.00     0.00  virtual thunk to PerDB<IntegralDataBase<double> >::Read(std::istream&)
  0.00      0.62     0.00      268     0.00     0.00  EnergyLevel::GetDegeneracy() const
  0.00      0.62     0.00      260     0.00     0.00  EnergyLevel::GetEnergy() const
  0.00      0.62     0.00      240     0.00     0.00  OrbitalImplementation::OrbitalImplementation(IDRef<BasisSet const> const&, double, Spin const&)
  0.00      0.62     0.00      240     0.00     0.00  TOrbitalImplementation<double>::TOrbitalImplementation(IDRef<BasisSet const> const&, Vector<double> const&, double, Spin const&)
  0.00      0.62     0.00      240     0.00     0.00  ElectronContainerImplementation::ElectronContainerImplementation(Spin const&, QuantumNumber const&)
  0.00      0.62     0.00      240     0.00     0.00  UnitSymmetryQN::GetDegeneracy() const
  0.00      0.62     0.00      240     0.00     0.00  TOrbitalImplementation<double>::AddDensityMatrix(SMatrix<double>&) const
  0.00      0.62     0.00      240     0.00     0.00  ElectronContainerImplementation::IsOccupied() const
  0.00      0.62     0.00      240     0.00     0.00  virtual thunk to BasisSetImplementation::GetQuantumNumber() const
  0.00      0.62     0.00      210     0.00     0.00  virtual thunk to TOrbitalImplementation<double>::~TOrbitalImplementation()
