Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.70     0.00     3255     0.00     0.00  fabs<double, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, (Shape)2>, (Store)1, (Data)0, (Shape)2>, (Store)1, (Data)1, (Shape)2>(Indexable<double, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, (Shape)2>, (Store)1, (Data)0, (Shape)2>, (Store)1, (Data)1, (Shape)2> const&)::{lambda(double const&)#1}::_FUN(double const&)
  0.00      0.70     0.00     2577     0.00     0.00  MatrixList<double>::Empty()
  0.00      0.70     0.00     2398     0.00     0.00  UniqueID::~UniqueID()
  0.00      0.70     0.00     2349     0.00     0.00  UniqueID::UniqueID()
  0.00      0.70     0.00     1899     0.00     0.00  Molecule::end() const
  0.00      0.70     0.00     1899     0.00     0.00  Molecule::begin() const
  0.00      0.70     0.00     1898     0.00     0.00  RNLM::RNLM()
  0.00      0.70     0.00     1898     0.00     0.00  std::vector<double, std::allocator<double> >::_M_fill_insert(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, unsigned long, double const&)
  0.00      0.70     0.00     1847     0.00     0.00  GaussianCD::GaussianCD(GaussianRF const&, GaussianRF const&)
  0.00      0.70     0.00     1847     0.00     0.00  GaussianCD::~GaussianCD()
  0.00      0.70     0.00     1847     0.00     0.00  Hermite2::Hermite2(double, Vector3D<double> const&, Vector3D<double> const&, int, int)
  0.00      0.70     0.00     1734     0.00     0.00  Vector<double>::SetLimits(VecLimits const&, bool)
  0.00      0.70     0.00     1734     0.00     0.00  VecLimits::Check() const
  0.00      0.70     0.00     1721     0.00     0.00  operator<<(std::ostream&, PMStreamableObject const&)
  0.00      0.70     0.00     1720     0.00     0.00  std::ostream& Write<double, Vector<double>, (Store)0, (Shape)1>(std::ostream&, ArrayIndexable<double, Vector<double>, (Store)0, (Shape)1> const&)
  0.00      0.70     0.00     1720     0.00     0.00  Vector<double>::Write(std::ostream&) const
  0.00      0.70     0.00     1717     0.00     0.00  operator>>(std::istream&, PMStreamableObject&)
  0.00      0.70     0.00     1716     0.00     0.00  Vector<double>::Read(std::istream&)
  0.00      0.70     0.00     1687     0.00     0.00  void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_realloc_insert<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.70     0.00     1432     0.00     0.00  GaussianRF::Get2CenterIntegrals(RadialFunction::Types2C, BasisFunctionBlockPair&, SMatrix<double>&, Cluster const*, double) const
  0.00      0.70     0.00     1391     0.00     0.00  operator+<double, double, Matrix<double>, Matrix<double>, (Store)0, (Store)0, (Data)0, (Data)0, (Shape)2>(Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2> const&, Indexable<double, Matrix<double>, (Store)0, (Data)0, (Shape)2> const&)::{lambda(double const&, double const&)#1}::_FUN(double const&, double const&)
  0.00      0.70     0.00     1290     0.00     0.00  MatrixList<double>::MatrixList()
  0.00      0.70     0.00     1290     0.00     0.00  MatrixList<double>::~MatrixList()
  0.00      0.70     0.00     1290     0.00     0.00  MatrixList<double>::~MatrixList()
  0.00      0.70     0.00     1290     0.00     0.00  MatrixList<double>::Write(std::ostream&) const
  0.00      0.70     0.00     1287     0.00     0.00  MatrixList<double>::Read(std::istream&)
  0.00      0.70     0.00      953     0.00     0.00  operator+<double, double, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, Val<double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, (Shape)2>, (Shape)2>, (Store)1, (Data)0, (Shape)2>, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, Val<double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, (Shape)2>, (Shape)2>, (Store)1, (Data)0, (Shape)2>, (Store)1, (Store)1, (Data)1, (Data)1, (Shape)2>(Indexable<double, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, Val<double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, (Shape)2>, (Shape)2>, (Store)1, (Data)0, (Shape)2>, (Store)1, (Data)1, (Shape)2> const&, Indexable<double, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, Val<double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, (Shape)2>, (Shape)2>, (Store)1, (Data)0, (Shape)2>, (Store)1, (Data)1, (Shape)2> const&)::{lambda(double const&, double const&)#1}::_FUN(double const&, double const&)
  0.00      0.70     0.00      927     0.00     0.00  virtual thunk to OrbitalImplementation::GetEigenEnergy() const
  0.00      0.70     0.00      868     0.00     0.00  Matrix<double>::SetLimits(MatLimits const&, bool)
  0.00      0.70     0.00      864     0.00     0.00  ERIList1::~ERIList1()
  0.00      0.70     0.00      863     0.00     0.00  Matrix<double>::Matrix()
  0.00      0.70     0.00      861     0.00     0.00  ERIList1::ERIList1()
  0.00      0.70     0.00      860     0.00     0.00  ERIList::ERIList()
  0.00      0.70     0.00      860     0.00     0.00  ERIList::~ERIList()
  0.00      0.70     0.00      860     0.00     0.00  Matrix<double>::Write(std::ostream&) const
  0.00      0.70     0.00      858     0.00     0.00  Matrix<double>::Read(std::istream&)
  0.00      0.70     0.00      765     0.00     0.00  ContractedGaussianRF::Integrate(RadialFunction::Types2C, RadialFunction const*, Polarization const&, Polarization const&, CDcache&, Cluster const*) const
  0.00      0.70     0.00      685     0.00     0.00  GaussianRF::GetOverlap2CInternal(BasisFunctionBlockPair&, SMatrix<double>&, double) const
  0.00      0.70     0.00      653     0.00     0.00  GaussianCD::~GaussianCD()
  0.00      0.70     0.00      653     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, GaussianCD const*>, std::_Select1st<std::pair<std::pair<int, int> const, GaussianCD const*> >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, GaussianCD const*> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::pair<int, int> const, GaussianCD const*> >, std::pair<int, int> const&)
  0.00      0.70     0.00      509     0.00     0.00  GaussianRF::GetKinetic2CInternal(BasisFunctionBlockPair&, SMatrix<double>&, double) const
  0.00      0.70     0.00      459     0.00     0.00  EnergyLevel::Add(Orbital*)
  0.00      0.70     0.00      430     0.00     0.00  WriteHeader(std::ostream&, char const*)
  0.00      0.70     0.00      430     0.00     0.00  HeapDB<std::complex<double> >::GetInverseRepulsion()
  0.00      0.70     0.00      430     0.00     0.00  HeapDB<double>::HeapDB()
  0.00      0.70     0.00      430     0.00     0.00  HeapDB<double>::~HeapDB()
  0.00      0.70     0.00      430     0.00     0.00  HeapDB<double>::~HeapDB()
  0.00      0.70     0.00      430     0.00     0.01  HeapDB<double>::Write(std::ostream&) const
  0.00      0.70     0.00      430     0.00     0.00  UniqueID::Write(std::ostream&) const
  0.00      0.70     0.00      429     0.00     0.00  ReadHeader(std::istream&, char const*)
  0.00      0.70     0.00      429     0.00     0.00  IntegralDataBase<double>::Factory(std::istream&)
  0.00      0.70     0.00      429     0.00     0.00  StreamableObject::PeekAtName(std::istream&)
  0.00      0.70     0.00      429     0.00     0.00  HeapDB<double>::Read(std::istream&)
  0.00      0.70     0.00      429     0.00     0.00  UniqueID::Read(std::istream&)
  0.00      0.70     0.00      429     0.00     0.00  HeapDB<double>::operator==(IntegralDataBase<double> const&) const
  0.00      0.70     0.00      429     0.00     0.00  virtual thunk to HeapDB<std::complex<double> >::GetInverseRepulsion()
  0.00      0.70     0.00      429     0.00     0.00  virtual thunk to PerDB<IntegralDataBase<double> >::Read(std::istream&)
  0.00      0.70     0.00      416     0.00     0.00  ElectronContainerImplementation::GetDegeneracy() const
  0.00      0.70     0.00      378     0.00     0.00  void std::vector<Orbital*, std::allocator<Orbital*> >::_M_realloc_insert<Orbital* const&>(__gnu_cxx::__normal_iterator<Orbital**, std::vector<Orbital*, std::allocator<Orbital*> > >, Orbital* const&)
  0.00      0.70     0.00      340     0.00     0.00  ContractedGaussianRF::Get2CenterIntegrals(RadialFunction::Types2C, BasisFunctionBlockPair&, SMatrix<double>&, Cluster const*, double) const
  0.00      0.70     0.00      268     0.00     0.00  EnergyLevel::GetDegeneracy() const
  0.00      0.70     0.00      260     0.00     0.00  EnergyLevel::GetEnergy() const
  0.00      0.70     0.00      245     0.00     0.00  std::vector<int, std::allocator<int> >::_M_default_append(unsigned long)
  0.00      0.70     0.00      240     0.00     0.00  OrbitalImplementation::OrbitalImplementation(IDRef<BasisSet const> const&, double, Spin const&)
  0.00      0.70     0.00      240     0.00     0.00  TOrbitalImplementation<double>::TOrbitalImplementation(IDRef<BasisSet const> const&, Vector<double> const&, double, Spin const&)
  0.00      0.70     0.00      240     0.00     0.00  ElectronContainerImplementation::ElectronContainerImplementation(Spin const&, QuantumNumber const&)
  0.00      0.70     0.00      240     0.00     0.00  UnitSymmetryQN::GetDegeneracy() const
  0.00      0.70     0.00      240     0.00     0.00  TOrbitalImplementation<double>::AddDensityMatrix(SMatrix<double>&) const
  0.00      0.70     0.00      240     0.00     0.00  ElectronContainerImplementation::IsOccupied() const
  0.00      0.70     0.00      240     0.00     0.00  virtual thunk to BasisSetImplementation::GetQuantumNumber() const
  0.00      0.70     0.00      210     0.00     0.00  virtual thunk to TOrbitalImplementation<double>::~TOrbitalImplementation()
  0.00      0.70     0.00      198     0.00     0.00  EnergyLevel::EnergyLevel(double)
  0.00      0.70     0.00      198     0.00     0.00  EnergyLevel::~EnergyLevel()
  0.00      0.70     0.00      156     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00      0.70     0.00       86     0.00     0.00  RadialFunctionImplementation::~RadialFunctionImplementation()
  0.00      0.70     0.00       79     0.00     0.00  ElectronContainerImplementation::GetOccupation() const
  0.00      0.70     0.00       78     0.00     0.00  Matrix<double>::Matrix(MatLimits const&)
  0.00      0.70     0.00       73     0.00     0.00  virtual thunk to BasisSetImplementation::GetNumFunctions() const
  0.00      0.70     0.00       71     0.00     0.00  testing::Test::Setup()
  0.00      0.70     0.00       70     0.00     0.00  GaussianRF::~GaussianRF()
  0.00      0.70     0.00       64     0.00     0.00  SMatrix<double>::SMatrix(VecLimits const&, VecLimits const&)
  0.00      0.70     0.00       63     0.00     0.00  ElectronContainerImplementation::SetOccupation(double)
  0.00      0.70     0.00       60     0.00     0.00  virtual thunk to PolarizedGaussianBF::GetNormalization() const
  0.00      0.70     0.00       55     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~vector()
  0.00      0.70     0.00       54     0.00     0.00  EnergyLevel::SetOccupation(double)
  0.00      0.70     0.00       54     0.00     0.00  FermiThermalizer::GetOccupation(double)
  0.00      0.70     0.00       54     0.00    12.22  HamiltonianTermImplementation::BuildHamiltonian(BasisSet const*, Spin const&) const
  0.00      0.70     0.00       54     0.00     0.00  void std::vector<EnergyLevel*, std::allocator<EnergyLevel*> >::_M_realloc_insert<EnergyLevel*>(__gnu_cxx::__normal_iterator<EnergyLevel**, std::vector<EnergyLevel*, std::allocator<EnergyLevel*> > >, EnergyLevel*&&)
  0.00      0.70     0.00       54     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_realloc_insert<double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double&&)
  0.00      0.70     0.00       53     0.00     0.00  std::unique_ptr<std::__cxx11::basic_stringstream<char, std::char_traits<char>, std::allocator<char> >, std::default_delete<std::__cxx11::basic_stringstream<char, std::char_traits<char>, std::allocator<char> > > >::~unique_ptr()
  0.00      0.70     0.00       50     0.00     0.00  RadialFunctionImplementation::RadialFunctionImplementation(RadialFunctionImplementation const&)
  0.00      0.70     0.00       50     0.00     0.00  UniqueID::UniqueID(UniqueID const&)
  0.00      0.70     0.00       49     0.00     0.00  gtest_MoleculesHFPolarizedHartreeFockMoleculeTester_EvalGenerateName_(testing::TestParamInfo<int> const&)
  0.00      0.70     0.00       48     0.00     0.00  void std::vector<RadialFunction*, std::allocator<RadialFunction*> >::_M_realloc_insert<RadialFunction*>(__gnu_cxx::__normal_iterator<RadialFunction**, std::vector<RadialFunction*, std::allocator<RadialFunction*> > >, RadialFunction*&&)
  0.00      0.70     0.00       48     0.00     0.00  void std::vector<Orbital*, std::allocator<Orbital*> >::_M_realloc_insert<Orbital*>(__gnu_cxx::__normal_iterator<Orbital**, std::vector<Orbital*, std::allocator<Orbital*> > >, Orbital*&&)
  0.00      0.70     0.00       45     0.00     0.00  HamiltonianTermImplementation::UseChargeDensity(ChargeDensity const*)
  0.00      0.70     0.00       44     0.00     0.00  GaussianRF::GetNormalization(Polarization const&) const
  0.00      0.70     0.00       42     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::_Identity<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
  0.00      0.70     0.00       42     0.00     0.00  void std::vector<Polarization, std::allocator<Polarization> >::_M_realloc_insert<Polarization const&>(__gnu_cxx::__normal_iterator<Polarization*, std::vector<Polarization, std::allocator<Polarization> > >, Polarization const&)
  0.00      0.70     0.00       42     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, bool> std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::_Identity<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_insert_unique<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.70     0.00       41     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int&&)
  0.00      0.70     0.00       40     0.00     0.00  GaussianRF::Clone() const
  0.00      0.70     0.00       40     0.00     0.00  ContractedGaussianRF::operator==(RadialFunction const&) const
  0.00      0.70     0.00       37     0.00     0.00  void std::vector<IntegralEngine1<double> const*, std::allocator<IntegralEngine1<double> const*> >::_M_realloc_insert<IntegralEngine1<double> const*>(__gnu_cxx::__normal_iterator<IntegralEngine1<double> const**, std::vector<IntegralEngine1<double> const*, std::allocator<IntegralEngine1<double> const*> > >, IntegralEngine1<double> const*&&)
  0.00      0.70     0.00       36     0.00     0.00  RadialFunctionImplementation::RadialFunctionImplementation(Vector3D<double> const&, int)
  0.00      0.70     0.00       36     0.00     0.00  virtual thunk to BasisSetImplementation::GetStartIndex() const
  0.00      0.70     0.00       35     0.00     0.00  Matrix<double>::Matrix(Matrix<double> const&)
  0.00      0.70     0.00       33     0.00     0.00  void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_realloc_insert<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
